carat,cut,color,clarity,depth,table,y_pred
0.33,2,4,7,61.2,56.0,487.89
0.7,3,3,6,60.3,59.0,2392.9
0.71,4,6,5,64.0,59.0,2117.223
0.33,1,6,1,59.0,61.0,756.7673333333332
1.04,1,4,4,62.0,56.0,7087.214
1.01,3,2,6,59.5,60.0,5421.885
0.36,2,5,6,61.5,57.0,600.705
0.9,2,1,5,63.0,57.0,4916.07
0.35,2,3,4,62.4,57.0,794.4766666666666
0.3,4,1,3,64.2,55.0,746.79
0.73,2,4,7,61.8,56.0,2425.22
0.28,2,4,3,61.5,56.0,567.85
1.29,3,2,4,61.8,57.0,11721.77
1.4,1,1,7,61.8,54.0,7535.660833333333
0.57,2,1,7,62.3,53.0,1335.79
1.01,3,3,5,61.0,59.0,6769.056666666667
1.01,4,2,4,63.6,57.0,7355.218833333335
1.01,2,4,3,62.2,56.0,7902.943333333334
0.72,2,4,5,62.0,56.0,2823.83
0.5,1,2,7,59.4,60.0,1204.6
1.72,2,5,5,61.9,56.0,13452.59
1.59,2,6,6,62.4,56.0,9721.16
0.32,2,2,6,61.9,55.0,646.9553333333333
1.06,2,4,4,62.3,55.0,7424.75
1.61,1,7,1,62.1,58.0,10002.646666666666
1.03,1,4,5,58.9,59.0,6409.49
0.54,2,1,6,61.5,56.0,1694.3913095238095
1.29,4,1,7,57.9,59.0,6105.227333333334
0.38,3,2,4,61.5,58.0,962.331
0.9,2,4,6,62.6,56.0,4122.02
1.21,3,5,5,62.8,57.0,6357.44
0.34,1,3,6,59.8,58.0,639.8081666666666
0.7,3,2,6,61.7,62.0,2453.07
0.38,2,4,7,62.8,57.0,573.12
0.34,2,2,5,62.4,54.0,870.2753333333334
0.56,2,6,4,60.5,55.0,1395.9
1.34,1,6,5,61.8,59.0,6418.461666666667
0.32,2,4,3,61.7,57.0,877.5206666666667
0.59,2,4,1,62.5,57.0,2559.68
2.01,3,5,7,63.4,57.0,12198.84
0.82,2,2,4,60.0,55.0,4452.446666666667
0.27,3,2,6,60.6,57.0,533.83
0.78,3,6,6,63.5,57.0,2214.77
0.3,2,3,2,62.1,55.0,939.5560000000002
1.09,1,4,7,61.1,59.0,4384.928666666667
1.5,1,3,5,60.9,60.0,14177.946666666667
0.4,1,1,5,61.7,59.0,1056.06
0.73,2,1,5,61.8,54.0,3651.9449999999993
1.02,2,1,6,61.3,56.0,6113.5
1.0,1,3,7,61.7,57.0,4228.3578333333335
0.31,1,1,6,61.2,60.0,601.2865952380953
0.39,3,4,5,60.4,61.0,751.9
2.08,1,6,2,62.2,58.0,17197.97
1.4,2,4,2,60.8,57.0,12714.868333333332
0.59,2,2,6,61.1,56.0,1685.18
1.03,2,5,3,62.4,53.0,6476.21
0.31,2,4,1,61.9,53.0,884.69
1.06,2,3,8,62.1,55.0,3583.945333333333
0.7,3,4,2,62.4,59.0,3187.03
0.5,5,4,3,64.9,58.0,1816.8725
1.22,1,3,5,62.0,58.0,8761.12
1.27,2,7,5,61.8,54.0,5562.62
0.72,2,4,5,61.7,55.0,3095.64
0.32,3,1,6,58.3,58.0,598.935
0.36,2,4,4,62.9,57.0,787.174
0.31,1,2,3,60.5,57.0,954.3086666666667
0.47,2,4,2,61.6,56.0,1524.4516666666666
1.73,3,6,7,62.0,58.0,9046.07
0.94,4,1,6,63.6,56.0,4528.2575
1.04,1,3,6,62.2,60.0,5393.4839999999995
0.42,2,1,5,62.1,54.0,997.4921666666665
2.02,2,6,7,61.7,57.0,13900.163333333336
1.03,2,4,7,61.7,55.0,4442.961833333333
0.37,1,3,7,60.2,60.0,609.695
0.5,1,3,3,61.8,56.0,2143.1625
1.25,1,2,5,61.5,58.0,9280.5875
0.9,4,4,1,63.1,58.0,5369.31
0.33,2,1,5,60.9,55.0,907.0813333333334
1.5,4,3,6,63.4,58.0,10975.34
0.41,2,3,5,60.8,56.0,911.2566666666667
0.52,1,1,6,61.4,58.0,1510.888
1.1,1,1,6,60.4,59.0,5924.35
1.51,1,4,6,62.6,58.0,9549.66
0.3,3,4,2,63.3,55.0,874.23
0.6,4,2,6,62.7,60.1,1712.4616666666666
0.23,2,3,4,61.4,55.0,488.63
0.74,3,5,7,63.1,56.0,2224.52
1.22,2,3,5,60.7,57.0,9011.13
1.01,4,3,4,62.9,64.0,7010.805
1.77,3,1,6,59.2,61.0,13666.64
0.32,3,7,5,60.0,61.0,451.5391666666667
0.79,1,6,6,61.8,60.0,2332.24
0.9,4,2,6,63.9,55.0,3819.5316666666668
1.01,1,2,8,59.8,58.0,2781.9266666666663
1.04,3,4,2,58.2,60.0,7616.41
0.85,2,4,6,61.6,55.0,3231.8875
0.4,1,2,6,62.6,59.0,807.8946666666669
0.28,3,2,4,62.8,60.0,461.47
2.0,2,5,6,62.8,52.0,16780.48
0.31,3,2,1,58.1,60.0,1006.3628333333332
1.03,1,3,5,62.0,58.0,6355.0216666666665
1.1,3,3,5,63.5,55.0,7142.26
1.52,1,2,5,61.8,59.0,14948.098333333333
1.05,1,4,4,61.6,58.0,6950.870666666667
0.9,4,4,6,63.7,58.0,3579.6009999999997
1.13,2,6,5,62.2,55.0,5287.36
0.31,4,4,1,63.9,58.0,864.6175
0.4,2,6,3,62.2,55.0,844.76
1.51,1,7,5,62.3,59.0,7573.09
0.49,1,7,7,59.8,59.0,947.92
0.3,4,3,2,63.7,59.0,910.33
1.51,1,5,6,62.0,58.0,8661.76
1.01,4,5,6,60.5,56.0,4924.051666666666
0.76,1,3,6,62.5,59.0,2682.5
2.18,3,3,7,63.4,60.0,15554.38
2.03,1,4,5,59.6,60.0,16347.74
1.01,3,4,4,63.1,59.0,6523.367333333334
1.5,3,2,7,62.8,57.0,8491.63
0.38,2,2,6,61.9,55.0,844.405
0.92,5,6,5,64.4,58.0,3077.02
0.59,2,7,6,61.3,57.0,1212.16
0.9,4,3,6,62.5,59.0,3977.1325
1.34,2,5,2,62.1,56.0,10156.17
1.16,1,1,8,61.8,59.0,3934.4582857142855
1.09,1,1,6,61.6,58.0,6101.27
1.01,1,5,7,61.3,59.0,4018.79
0.41,2,1,6,60.3,57.0,863.8633333333335
1.03,3,5,5,59.9,59.0,5419.58
0.38,1,7,4,62.1,60.0,771.03
1.06,2,4,2,61.6,57.0,8480.483333333334
0.5,1,5,6,62.1,60.0,1113.59
0.85,1,7,5,60.7,58.0,2540.84
0.6,2,3,6,61.5,58.0,1601.6033333333335
0.31,1,2,3,61.9,58.0,881.11
0.73,3,3,5,62.7,58.0,2846.46
0.53,4,5,6,63.7,55.0,1181.0797619047617
0.23,2,4,1,62.8,55.0,541.4
0.73,1,7,4,61.3,61.0,1991.37
0.72,4,5,5,61.8,61.0,2356.66
0.23,4,3,3,62.8,61.0,447.67
1.01,3,2,5,60.4,58.0,6732.37
0.71,3,5,6,62.5,63.0,2143.05
0.35,1,5,3,61.9,58.0,821.8096666666668
1.12,1,5,6,61.6,58.0,5269.248666666667
0.34,1,2,5,60.9,60.0,928.8783333333333
0.51,2,7,6,62.5,58.0,1010.387
0.73,3,3,5,62.5,57.0,2821.518333333333
0.53,2,3,3,62.3,56.0,2226.3516666666665
0.43,1,3,7,60.2,60.0,862.43
2.04,3,6,8,59.3,61.0,8193.43
0.42,1,2,6,60.0,58.0,915.485
0.3,1,4,3,62.6,58.0,880.22
0.51,1,5,4,62.5,58.0,1409.95
2.19,2,5,7,62.0,56.0,16385.38666666667
1.7,2,6,6,60.4,58.0,10248.49
0.53,2,3,5,61.8,55.0,1715.8725
0.57,2,4,6,62.3,54.0,1443.97
1.21,2,4,4,61.3,57.0,9560.17
0.83,1,1,6,61.3,58.0,3499.26
0.5,4,3,6,62.5,60.0,1211.58
1.13,2,3,8,62.2,55.0,3626.5
1.52,1,1,6,59.2,61.0,12468.57
0.82,3,3,7,59.7,57.0,2743.24
0.32,2,2,5,62.0,57.0,802.8090476190475
0.9,3,1,6,59.4,62.0,4647.63
0.3,3,5,5,62.9,59.0,482.15
0.7,1,5,3,62.1,58.0,2614.97
1.51,4,4,6,63.1,56.0,10281.505
1.53,3,6,4,62.8,55.0,9573.275
0.32,2,5,2,61.3,56.0,873.5066666666665
0.32,2,5,2,62.2,56.0,819.2833333333334
1.71,3,3,5,58.5,61.0,16924.695
1.07,4,7,5,61.7,57.7,4322.46
2.06,1,4,7,59.8,61.0,15380.205
1.0,4,5,6,63.4,56.0,4524.0599999999995
0.9,4,4,6,63.7,58.0,3579.6009999999997
1.29,2,1,8,61.3,56.0,3686.28
0.5,2,4,3,61.8,54.0,1973.4992142857143
0.26,3,2,3,60.8,61.0,563.94
0.47,4,3,4,60.0,60.1,1280.4
0.7,3,3,6,58.4,63.0,2412.56
0.9,2,3,7,62.6,57.0,3678.69
1.51,1,5,6,61.2,60.0,9745.172166666665
0.71,2,6,4,61.5,56.0,2792.077666666667
0.34,1,6,3,61.5,60.0,606.0741666666667
0.41,2,5,5,61.5,55.0,878.9028571428571
1.01,4,4,6,63.3,59.0,4743.206666666667
0.8,3,2,4,60.7,60.0,4073.938
0.32,1,6,2,63.0,58.0,722.9241666666666
0.56,3,3,6,60.0,57.0,1405.0
1.51,3,6,6,62.2,60.0,8021.06
1.06,1,5,5,62.6,58.0,5756.27
1.5,1,5,8,60.1,57.0,5480.9325
1.07,3,4,5,60.5,56.0,6799.622857142856
0.32,2,5,1,61.6,55.0,840.8143333333333
1.13,1,4,4,58.6,59.0,7574.44
1.01,3,6,6,62.1,59.0,4321.57
0.71,2,5,2,60.4,57.0,3035.97
1.55,3,2,8,61.6,58.0,5425.463000000001
1.01,3,4,5,60.2,58.0,5960.878333333332
1.01,3,2,6,62.0,61.0,5087.31
0.37,2,4,1,62.1,54.0,1031.4183333333335
1.04,2,4,7,61.9,58.0,4638.804666666667
2.43,5,4,7,64.5,57.0,15243.63
1.1,2,4,4,61.3,54.0,7715.239166666666
0.7,5,7,8,64.7,59.0,1079.02
1.51,2,6,6,59.4,61.0,8621.21
0.32,2,2,7,62.7,55.0,476.995
1.85,2,6,3,62.4,57.0,13949.33
1.09,1,2,6,62.7,58.0,5396.81
0.26,3,4,2,61.6,56.0,556.31
1.01,3,1,3,59.8,57.0,10568.48
0.31,2,4,5,59.1,57.0,663.18
0.35,2,1,4,63.0,57.0,867.9111666666665
0.61,1,4,5,63.0,58.0,1808.2191666666665
1.14,4,2,6,60.9,64.0,5621.16
0.32,2,4,3,62.1,54.0,743.9983333333333
0.57,3,4,6,60.4,58.0,1353.975
0.71,2,3,4,61.5,56.0,3693.0306666666665
0.9,5,5,7,65.6,58.0,3016.76
0.53,2,7,6,61.4,56.0,1079.89
1.22,2,6,5,59.5,57.0,6176.193499999999
0.41,1,7,5,61.9,59.0,655.51
0.51,3,5,6,61.2,55.0,1499.62
0.35,1,1,6,61.5,58.0,755.8285000000001
0.31,1,2,2,61.8,59.0,878.11
0.32,2,2,5,61.1,56.0,744.2954999999998
0.33,3,4,5,60.6,61.0,607.44
0.46,3,6,2,63.5,57.0,1015.4691666666668
1.03,2,3,6,61.3,57.0,5676.57
0.57,2,1,4,61.1,57.0,2202.1683333333335
0.35,2,3,5,61.5,57.0,796.1728571428572
0.34,4,5,5,63.7,57.0,629.4991666666667
0.26,1,5,2,62.5,58.0,526.08
0.7,2,2,5,61.9,56.0,2952.643333333334
0.7,3,6,7,63.2,60.0,1736.09
0.59,2,3,7,61.7,54.0,1255.95
0.24,2,3,3,62.6,57.0,578.75
1.03,2,2,3,61.7,54.0,10093.09
0.3,1,6,4,60.3,58.0,517.8775
1.2,2,2,6,62.3,55.0,7213.326
0.32,3,5,5,63.1,55.0,572.305
0.3,4,4,4,63.3,56.0,605.37
1.43,2,4,4,59.9,57.0,11060.17333333333
1.17,2,7,6,62.1,57.0,4681.72
0.73,2,2,5,61.9,55.0,3352.7795
0.71,3,3,7,63.6,56.0,2283.693666666667
0.51,3,4,5,62.9,57.0,1416.94
0.4,2,3,4,61.1,56.0,1013.2825
0.6,3,1,3,60.6,57.0,3034.66
0.4,2,4,4,61.8,57.0,961.2448333333332
0.92,1,2,5,61.2,62.0,5457.52
0.3,1,3,3,61.1,59.0,781.9699999999998
0.28,2,2,3,60.7,57.0,650.49
0.4,3,6,5,61.4,57.6,825.12
0.23,3,2,3,59.4,59.0,521.55
1.24,3,6,4,59.4,58.0,6332.05
0.93,4,7,5,63.6,61.0,3202.4
0.54,1,4,5,62.0,58.0,1628.28
0.7,3,1,6,61.1,61.0,2585.04
0.55,2,3,4,62.0,55.0,1992.085
1.2,1,1,2,62.1,59.0,14812.82
0.72,2,2,3,62.1,56.0,4102.08
1.02,2,3,5,62.0,57.0,6592.496999999999
0.57,2,3,4,62.6,56.0,1929.946666666667
0.41,1,1,3,61.9,59.0,1167.8006666666668
1.2,2,5,5,63.0,56.0,6559.46
1.16,1,4,7,62.6,58.0,4775.030000000001
0.71,1,1,6,59.2,62.0,2751.756333333333
1.02,3,1,5,63.7,55.0,7304.0
0.77,3,1,5,59.6,57.0,3471.627
1.01,4,7,4,61.5,61.0,4151.3
1.51,1,1,6,62.5,60.0,12118.271666666667
2.18,2,6,7,62.5,55.0,15437.57
0.71,3,3,6,62.8,59.0,2323.04
2.03,1,6,7,63.0,56.0,12005.5
0.8,2,3,5,62.1,56.0,3474.896666666667
0.37,3,1,6,62.2,58.0,687.2941666666666
0.81,2,1,6,61.5,57.0,3408.63
0.5,4,3,3,58.5,62.0,1892.89
0.53,3,1,2,61.2,55.0,3174.4
0.72,2,3,4,61.5,56.0,3706.85
0.34,3,6,6,60.4,56.0,471.3550000000001
0.3,2,3,5,62.1,55.0,618.766
2.0,5,5,6,65.6,58.0,13471.06
1.0,3,1,5,61.2,61.0,6822.93
0.52,3,5,4,61.7,55.0,1708.62
0.34,2,4,5,62.0,54.0,629.8783333333333
0.74,1,5,7,60.9,61.0,2095.93
0.36,2,2,4,61.7,56.0,862.24
0.35,1,2,5,62.1,59.0,934.4398333333332
1.2,2,5,5,62.8,57.0,6490.99
0.92,3,1,4,60.6,61.0,6122.72
1.1,1,3,4,60.9,61.0,8195.35
0.9,3,4,5,63.4,59.0,4340.340833333334
2.01,2,6,6,64.8,62.0,11698.021666666667
1.03,1,2,6,59.5,60.0,5345.873333333333
0.64,1,1,6,62.3,58.0,1931.51
0.79,2,3,6,61.3,56.0,3128.046666666666
0.32,1,3,6,59.3,58.0,642.7683333333333
0.59,3,4,5,61.5,59.0,1840.55
0.39,4,2,5,63.1,56.0,828.59
0.71,1,4,6,62.3,56.0,2383.2933333333335
0.41,2,2,4,62.1,56.0,1142.8360952380951
0.57,2,2,5,62.1,55.0,1801.0353333333333
0.31,2,6,4,61.9,53.9,551.5060000000001
0.56,2,1,4,61.1,56.0,2110.394333333333
0.39,2,2,5,61.4,56.0,885.2886666666667
1.04,1,4,5,60.1,59.0,6604.546666666667
1.7,1,5,5,61.9,60.0,12573.07
1.01,1,3,7,62.6,60.0,4450.396000000001
0.7,2,3,3,61.5,56.0,3759.13
1.01,1,6,7,61.5,62.0,3367.61
1.07,2,6,4,62.0,53.0,5599.31
0.33,2,2,6,59.6,57.0,663.2141666666668
0.3,2,2,5,61.7,55.0,680.5354166666666
0.9,2,6,6,60.8,57.0,3459.873333333333
0.55,3,6,7,61.5,60.0,1051.87
2.04,2,3,7,62.4,56.0,16710.86
0.61,1,4,4,62.7,57.0,1982.5483333333334
0.41,2,4,7,61.0,57.0,754.6823333333332
0.66,1,3,6,60.6,58.0,1893.99
1.21,1,5,7,62.9,58.0,5004.65
0.71,3,2,4,62.1,57.0,3240.26
0.71,2,3,4,61.1,56.0,3580.559952380952
0.3,3,5,2,61.0,55.0,702.6733333333333
2.01,4,6,6,58.5,62.0,15139.545
0.3,3,4,3,62.9,55.0,675.45
0.91,3,4,6,63.4,59.0,3842.7266666666665
0.32,2,3,2,62.5,53.0,885.4583333333335
0.3,1,5,6,62.9,58.0,541.74
0.7,2,6,5,62.1,54.6,2238.7305714285712
1.22,4,7,4,58.5,61.0,5393.4
0.41,3,3,7,62.6,54.0,691.1933333333334
1.5,4,4,5,63.8,56.0,11384.62
1.11,2,6,6,62.4,55.0,5060.34
0.61,2,2,5,59.7,57.0,2140.05
0.91,2,6,5,62.2,56.0,3924.68
0.33,2,5,1,61.9,55.0,853.255
1.03,2,1,6,61.6,55.0,5858.705
1.35,1,4,4,61.0,59.0,10205.660833333333
2.06,4,7,6,64.1,56.0,12230.556666666667
0.56,3,4,6,58.8,59.0,1369.9233333333332
0.23,3,2,2,63.3,57.0,483.86
1.38,3,3,4,61.4,61.0,11072.54
0.42,3,4,4,62.4,59.0,913.625
0.65,1,4,6,61.9,58.0,1743.73
1.01,3,5,6,63.5,57.0,4582.275833333332
0.72,2,4,5,62.7,56.0,2777.42
1.01,4,3,6,64.2,58.0,4286.0188333333335
1.31,2,4,5,61.9,56.0,9149.34
0.9,4,2,5,63.7,58.0,4240.581666666667
0.41,2,2,5,62.1,57.0,991.8966666666665
0.41,2,3,4,61.3,57.0,1062.9485
1.08,2,3,5,61.9,55.0,7724.266666666666
1.0,1,2,4,61.1,60.0,7342.434
0.32,2,3,5,61.2,56.0,795.6886666666666
1.22,1,6,5,61.6,59.0,5766.424833333333
0.33,1,6,6,60.4,59.0,523.9547500000001
0.83,2,7,5,62.3,55.0,2541.38
1.0,3,2,5,64.0,59.0,6483.758000000001
2.02,1,7,6,61.6,58.0,12349.344
0.7,2,2,7,60.6,56.0,2379.76
1.57,3,1,7,62.9,61.0,9654.38
0.41,1,6,7,61.6,59.0,626.307
0.54,4,1,7,59.1,65.0,1318.94
0.91,3,7,7,62.4,61.0,2780.5566666666664
1.64,1,2,6,59.5,58.0,13270.85
1.17,2,1,7,62.7,57.0,5641.533333333334
0.57,2,5,5,61.5,57.0,1622.11
1.55,2,7,4,59.5,60.0,7945.6025
1.51,3,2,7,62.8,59.0,8531.91
0.39,2,3,3,61.8,55.0,1066.35
0.23,3,2,3,61.1,62.0,494.75666666666666
0.28,2,6,3,62.2,55.0,484.27
0.4,2,5,7,62.6,55.0,585.775
0.32,3,6,4,62.6,58.0,561.1089285714286
0.53,2,5,6,61.9,56.0,1201.4246666666668
1.01,3,1,5,62.2,61.0,7067.84
0.71,1,4,2,62.7,58.0,3170.92
0.7,2,2,5,61.1,56.0,3356.41
1.21,5,6,8,65.0,58.0,3036.1133333333332
0.38,1,5,5,60.9,60.0,795.362
2.19,4,4,6,63.7,56.0,14662.248
0.25,2,3,4,61.8,57.0,521.3233333333334
0.31,3,2,1,63.0,55.0,1022.0471428571427
1.1,2,5,5,61.3,56.0,5976.87
0.53,2,5,4,61.2,56.0,1609.54
0.54,2,2,5,61.4,57.0,1743.2041666666667
0.32,4,4,4,63.2,55.0,649.1485
0.93,5,5,6,64.6,58.0,3545.84
0.41,4,2,6,63.5,57.0,733.54
0.7,4,7,7,58.7,58.0,1805.06
0.7,1,2,6,60.5,58.0,2725.695
0.55,2,2,5,61.8,57.0,1752.9166666666665
0.43,3,2,7,63.4,57.0,854.85
1.0,4,4,6,62.2,63.0,3980.63
0.72,3,1,6,60.5,57.0,2846.86
0.5,3,2,3,61.5,59.0,2131.23
0.42,1,5,2,60.9,62.0,1126.375
1.11,1,3,4,59.4,58.0,8194.62
0.31,2,3,5,61.5,56.0,658.7606666666668
0.52,3,6,2,63.1,58.0,1552.8075
1.01,4,1,6,63.9,61.0,5123.998666666666
1.1,5,2,6,65.5,57.0,5487.171428571429
0.3,2,3,2,61.1,56.0,924.2158333333333
0.3,2,6,3,62.8,57.0,647.49
0.3,2,3,5,60.9,56.0,689.4380833333332
0.96,2,3,4,61.2,56.0,5935.69
0.76,2,7,3,62.0,57.0,2155.72
0.44,4,1,5,60.6,64.0,1047.183
0.39,2,3,7,62.2,55.0,611.54
0.41,2,2,5,61.8,56.0,976.549
0.59,2,2,3,60.2,56.0,2574.52
0.51,1,2,7,61.8,58.0,1184.4458333333332
0.57,2,1,7,61.9,56.0,1353.156
1.02,1,2,7,62.9,56.0,4284.4766666666665
0.52,2,5,2,62.1,53.8,1771.7733333333335
2.08,1,5,6,62.6,59.0,17362.603333333336
0.48,3,2,5,59.9,58.9,1344.5
0.3,2,4,3,61.1,57.0,684.1
0.7,1,2,4,62.2,58.0,2995.2466666666664
1.02,3,1,7,58.8,58.0,4665.56
0.58,3,7,6,62.1,57.0,1171.25
0.3,2,5,1,62.5,56.0,834.075
0.66,4,3,5,61.5,60.8,2263.375
1.04,3,1,7,63.1,58.0,4866.85
0.26,2,4,6,62.0,54.0,402.07
1.57,3,6,5,60.2,58.0,10534.15
0.73,3,5,5,63.1,57.3,2378.106666666667
0.3,2,3,6,62.3,54.0,486.39000000000016
0.34,2,2,6,62.3,57.0,619.681
1.61,3,4,6,62.6,56.0,11290.38
0.32,4,2,6,63.4,55.0,533.985
0.41,4,2,6,63.5,55.0,736.64
1.77,1,6,4,62.2,58.0,12468.826666666668
0.34,2,1,5,62.1,55.0,973.8928333333334
1.25,2,5,4,62.1,57.0,7498.7773333333325
1.03,2,2,7,62.3,56.0,4476.1175
2.01,3,6,7,61.8,58.0,13971.5
1.33,1,5,6,61.5,59.0,7350.39138095238
0.4,1,1,7,59.9,60.0,707.82
0.7,3,1,4,63.4,59.0,2963.87
0.3,3,4,4,61.7,60.0,590.4019047619047
1.2,1,6,6,60.7,59.0,5272.6275
1.04,1,4,6,59.2,61.0,4958.85
1.06,2,2,4,62.1,57.0,8419.27
0.3,5,1,7,64.6,54.0,642.7583333333333
0.53,2,4,3,60.4,56.0,2002.9208333333333
0.91,2,2,5,62.1,55.0,5095.38
1.21,2,2,2,62.0,55.0,14702.49
0.7,3,6,3,63.0,58.0,2429.9025
1.22,2,4,4,62.6,54.4,8670.006666666668
1.0,4,3,5,63.8,58.0,6086.262
0.91,1,5,7,62.1,56.0,3533.3583333333327
0.7,3,3,2,59.3,62.0,3320.43
1.02,3,4,6,60.8,60.0,4905.157999999999
0.52,1,2,4,59.2,59.0,1876.7779999999998
0.54,2,1,3,61.6,54.0,2939.65
0.59,3,4,5,62.8,56.0,1675.0425
0.34,2,1,3,61.3,56.0,904.91
2.2,2,6,7,62.2,56.0,15487.646666666667
0.32,1,4,4,61.7,58.0,696.3216666666666
1.07,1,7,5,62.8,57.0,4073.89
0.3,1,2,1,61.9,61.0,1070.52
0.9,3,4,5,60.9,59.0,4245.34
1.01,1,5,5,58.1,60.0,4907.475
0.41,2,1,6,61.8,58.0,921.1083333333332
0.3,2,3,4,61.6,54.7,617.7848333333334
0.3,1,1,7,60.2,60.0,488.94500000000005
0.5,4,4,6,62.5,64.0,1146.87
0.7,3,4,2,63.1,56.0,3185.58
1.07,2,3,4,62.1,55.0,7960.770000000001
0.58,2,3,5,61.5,57.0,1781.4846666666667
0.52,3,3,5,61.1,56.0,1641.57
0.55,1,4,6,60.2,59.0,1386.4515000000001
1.0,5,1,7,64.8,60.0,5572.813333333333
0.31,1,2,3,61.3,60.0,1031.5011111111112
0.33,1,6,3,62.2,59.0,726.915
2.4,1,3,7,62.6,59.0,15894.51
0.42,3,6,6,61.2,60.0,718.16
1.18,1,7,5,62.8,59.0,4651.09
0.3,1,1,6,62.6,59.0,683.7331666666666
0.41,1,6,7,61.6,59.0,626.307
0.32,2,4,2,61.8,54.0,811.6766666666666
0.65,4,3,4,61.7,60.3,2285.3
0.7,5,4,4,57.1,62.0,2429.0
0.51,2,2,5,62.6,55.0,1680.795
0.97,2,4,7,62.7,57.0,4045.31
1.01,3,1,7,63.4,57.0,4908.89
0.4,1,2,6,61.3,59.0,758.0235
1.01,2,2,7,61.2,54.0,4662.763333333333
0.41,2,3,2,61.9,56.0,1296.045
1.0,5,3,6,68.7,55.0,4110.32
0.3,2,4,2,61.5,55.0,861.3046666666665
0.37,4,4,7,63.4,57.0,551.7919999999999
0.63,1,1,4,59.2,61.0,2610.51
0.65,2,5,3,61.6,58.0,2209.66
0.51,2,1,6,61.6,56.0,1630.8953333333336
0.26,2,4,2,62.8,54.0,570.71
